,Name,Ticker,marketCap,pbRatio,peRatio,divYield,bookValue,epsTtm,roe,industryPe,cappedType,dividendYieldInPercent,faceValue,returnOnAssets,operatingProfitMargin,netProfitMargin,evToSales,evToEbitda,earningsYield,sectorPb,sectorDivYield,sectorRoe,sectorRoce,priceToOcf,priceToFcf,roic,pePremiumVsSector,pbPremiumVsSector,divYieldVsSector,sectorPe,priceToSales,pegRatio
0,Torrent Pharmaceuticals,TORNTPHARM,87254.08,13.01,58.41,0.85,198.1860463,44.14,20.0239,36.855266579166205,Large Cap,0.85,5,2.554115024520731,32.328714022676614,13.879445682721196,8.703301676519041,19.68,0.8533835896269836,4.981704250692763,0.6762067459937198,12.658428216991208,11.475975561913504,56.65849350649351,41.72,15.954341429080904,0.5848481213542056,1.6115560750501818,0.1737932540062802,36.855266579166205,8.32,-2.101858488499452
1,Indian Hotels Company,INDHOTEL,87242.16,10.38,74.56,0.16,59.0468128,8.22,13.2833,65.12184291984461,Large Cap,0.16,1,2.2242541239670945,33.88448474611795,18.0246392267339,13.828043224983203,24.74,0.16281119128641472,8.525014522688888,0.15375723970992053,11.31992777706463,8.948680792219704,133.4712685882137,67.04,12.678275747619272,0.1449307430038853,0.21759323369762762,0.006242760290079474,65.12184291984461,13.56,-0.0857806183115339
2,Shriram Finance,SHRIRAMFIN,94652.81,2.04,14.25,1.38,1232.2501011,176.77,14.1997,19.657864543932156,Large Cap,1.38,10,0.9079745826493226,71.45164975838887,19.28702146322003,7.4677198083370415,8.98,1.384538927053513,2.4548478108577805,0.9414795659366296,13.558354691637376,8.456564630121397,-8.43170565713685,-13.34,8.321184049620104,-0.27509928821853724,-0.16899125437548934,0.43852043406337027,19.657864543932156,2.72,0.1299892473118279
3,Cummins India,CUMMINSIND,84006.85,13.82,54.88,0.82,219.3318903,55.22,23.7755,50.738158081071944,Large Cap,0.82,2,4.991591726428242,25.39514186453221,18.053257533975366,9.765756178731868,25.23,0.8249327287001,7.545340244450509,0.5285758631622449,15.157562200185648,12.47283602528068,116.79459730004032,123.66,31.300625713322557,0.08163169645043111,0.8315940106431137,0.29142413683775503,50.738158081071944,9.9,1.1650174976481653
4,United Spirits,MCDOWELL-N,82030.63,12.04,64.63,0.0,93.6339064,17.45,18.8544,67.2345581487204,Large Cap,0.0,2,3.1929780501280827,8.017471391584483,5.02551534675969,3.2025195169674094,32.63,0.0,9.39876405676852,0.2127483374090239,14.060006879594775,11.4485299148617,95.36227621483376,150.62,21.021020317844055,-0.03873838425410947,0.2810194965293753,-0.2127483374090239,67.2345581487204,7.38,1.2537522041763338
5,ICICI Lombard General Insurance Company,ICICIGI,84667.97,7.24,46.11,0.58,237.4283425,37.27,15.6963,22.33153200828712,Large Cap,0.58,10,0.7832957765466472,14.976963496001355,11.316701850624836,4.969009969644206,23.22,0.5800658737891082,6.414403776992167,0.38740094419128734,28.726298565444058,0.9956580093195133,890.4919015565839,37.21,16.282813054274563,1.0647934043615463,0.1287097369780752,0.19259905580871262,22.33153200828712,4.68,0.8436473175965665
6,Samvardhana Motherson International,MOTHERSON,80876.59,3.59,40.46,0.54,33.2558011,2.95,6.7453,43.31065777328852,Large Cap,0.54,1,0.6341638110135449,9.045471668299331,1.7238377696119578,1.0396090869153847,8.63,0.5445828020197192,5.4200487918120155,0.5864770154569399,12.371327704460079,10.47942483316444,63.53227808326787,22.68,8.08853024030101,-0.06581885198350967,-0.3376443390282099,-0.04647701545693983,43.31065777328852,0.87,-4.969812499999995
7,Indian Railway Catering & Tourism Corporation,IRCTC,80220.0,28.19,72.56,0.55,35.5732075,13.82,37.29,70.2474393720742,Large Cap,0.55,2,5.960995772269022,38.19867023818568,27.850986293111262,19.08927387554743,30.9,0.5484916479680878,28.0519772581926,0.5511574306042689,39.93309579529562,27.686954829572585,217.92991035044824,105.72,129.59364581764058,0.032920212446136965,0.004920250025052697,-0.001157430604268872,70.2474393720742,19.57,0.867388452655889
8,Indus Towers,INDUSTOWER,84621.02,3.57,15.16,0.0,87.9387436,20.71,15.2028,15.352553732378091,Large Cap,0.0,10,2.881412099432513,50.913924655117725,19.893586312334506,3.6797849630973296,5.92,0.0,4.250112724094363,0.006473232351413388,17.4419495362285,12.361643269003277,18.674365538244253,16.58,14.172666271212764,-0.012542130497286585,-0.1600222789947966,-0.006473232351413388,15.352553732378091,2.94,-0.27797574626865673
9,HDFC Asset Management Company,HDFCAMC,78408.4,13.02,44.1,1.31,282.1345862,83.29,27.5482,19.657864543932156,Large Cap,1.31,5,9.527560489683236,96.68421204252043,73.17285967677549,32.48610430924857,18.83,1.3065130776804526,2.4548478108577805,0.9414795659366296,13.558354691637376,8.456564630121397,120.66172170754976,69.13,29.82385572218029,1.2433769396184218,4.303791111779964,0.36852043406337043,19.657864543932156,26.77,0.0
